row_id,ESE_total,log10_revenue
6,43,6.699
8,40,5.301
25,58,6.699
34,63,5.699
37,50,6
43,42,5.699
51,45,5.0969
57,47,6
59,43,4.3979
63,50,4.699
72,62,4.3979
74,38,5.699
80,36,7
83,37,6.699
84,27,3.699
87,63,6.699
93,51,3.699
94,43,5.699
102,45,5.301
106,43,6.699
112,63,6.699
119,36,5.301
146,63,3.699
147,46,6.699
150,45,5.301
152,44,5.699
158,29,5.0969
172,57,6
175,56,8
181,48,4.699
183,47,5.0969
189,27,5.699
198,21,3.699
201,62,5.699
224,47,6
241,49,6.699
251,58,6
272,30,5.301
284,33,3.699
354,21,7
369,52,3.699
383,35,6
477,42,4.3979
508,55,5.301
519,21,6.699
522,56,8
527,48,5.0969
545,63,5.699
558,36,5.301
562,58,5.699
576,40,6.699
592,42,6.699
598,41,6
604,43,5.301
613,55,6
614,21,6.699
618,47,5.699
624,36,6.699
635,48,5.699
636,36,3.699
637,44,6.699
648,47,5.301
650,45,5.301
651,41,5.699
653,58,6.699
657,58,5.699
658,52,6
660,23,5.0969
661,63,6
662,21,4.699
667,42,3.699
695,46,5.0969
707,60,5.699
711,42,6
730,53,8
739,49,5.301
747,28,5.699
752,52,6
768,45,5.301
787,32,5.699
792,42,5.0969
798,54,5.699
799,59,5.301
834,43,6.699
928,43,5.699
967,60,7
1060,56,6
1118,59,4.699
1128,46,5.301
1131,50,8
1133,55,6.699
1136,56,5.699
1137,37,4.3979
1151,47,5.699
1155,62,4.3979
1156,37,5.699
1166,61,5.699
1168,39,6.699
1172,49,3.699
1182,49,6.699
1184,23,4.3979
1185,42,5.699
1190,42,5.699
1204,35,5.699
1210,57,5.0969
1214,22,6.699
1222,51,6.699
1225,49,3.699
1234,55,5.699
1241,55,6
1245,30,5.699
1246,38,5.0969
1247,46,5.0969
1249,41,6.699
1250,54,5.699
1253,21,5.0969
1256,40,5.301
1257,48,5.0969
1272,53,6
1277,43,6.699
1287,42,5.0969
1289,27,5.699
1290,45,6.699
1292,42,6
1293,61,5.699
1300,31,5.699
1310,35,6
1327,59,5.0969
1357,32,4.3979
1366,56,4.3979
1372,37,6.699
1373,26,3.699
1379,52,5.0969
1380,45,6
1382,59,3.699
1383,51,5.699
1384,46,7
1387,62,4.699
1389,60,5.0969
1399,48,5.0969
1400,21,5.0969
1408,52,5.0969
1484,36,6
1584,49,6
1706,46,5.699
1756,56,4.699
1759,48,6.699
1771,58,6.699
1772,58,6
1777,62,5.0969
1786,63,8
1803,21,3.699
1804,51,3.699
1805,32,6
1808,21,4.3979
1817,54,5.699
1823,46,5.301
1826,36,6
1829,44,6
1831,63,4.699
1832,58,7
1833,37,5.301
1834,49,7
1845,62,6.699
1848,22,4.699
1850,48,5.0969
1854,59,4.3979
1864,63,5.699
1865,63,5.699
1867,44,5.699
1872,53,5.699
1873,33,5.0969
1878,47,4.699
1895,50,5.699
1896,45,5.699
1898,47,6.699
1906,59,5.0969
1915,47,6.699
1923,41,4.3979
1941,62,5.699
1945,50,6
1948,51,5.0969
1974,21,6
1976,57,7
1987,36,6.699
1990,61,6.699
2003,62,3.699
2008,48,5.699
2016,50,6
2035,55,5.699
2043,47,5.0969
2066,56,5.0969
2083,42,5.699
2084,41,5.0969
2098,55,7
2100,21,3.699
2113,57,6.699
2292,48,7
2343,56,5.301
2420,21,5.0969
2431,55,6.699
2457,41,3.699
2458,57,3.699
2462,61,4.699
2467,34,5.301
2476,39,5.0969
2477,47,5.0969
2478,54,5.301
2483,46,3.699
2494,42,5.0969
2496,42,4.699
2497,33,5.699
2505,57,8
2507,44,4.699
2508,63,6.699
2529,30,5.0969
2531,48,5.0969
2555,46,6.699
2557,63,6
2568,52,5.0969
2570,59,6
2583,33,6
2592,50,3.699
2594,32,5.0969
2596,59,4.699
2608,53,6
2618,46,6.699
2630,58,6
2671,58,5.301
2675,46,3.699
2683,46,4.3979
2686,40,5.699
2690,63,6.699
2693,53,6
2704,62,5.699
2727,36,5.0969
2728,51,5.0969
2735,46,3.699
2759,43,4.699
2760,47,8
2769,63,4.3979
2798,40,5.699
2799,41,4.3979
2933,42,6.699
3102,26,5.0969
3110,54,4.3979
3125,47,4.699
3133,23,8
3158,54,5.699
3159,50,5.699
3193,24,4.699
3204,55,6
3221,40,5.699
3236,43,4.3979
3250,33,4.3979
3258,42,4.3979
3260,22,3.699
3263,63,5.0969
3264,50,3.699
3266,42,6.699
3276,63,6.699
3277,62,5.301
3301,44,4.699
3316,59,8
3318,38,5.301
3319,43,4.3979
3323,54,4.699
3344,43,6
3352,63,6
3355,25,4.699
3367,48,6.699
3368,59,4.699
3373,49,4.699
3378,51,3.699
3382,35,4.3979
3384,52,4.3979
3386,63,7
3387,63,5.0969
3389,61,7
3392,44,3.699
3400,32,4.3979
3413,21,4.699
3421,59,8
3427,44,5.699
3432,55,5.0969
3437,51,3.699
3449,51,6
3461,55,5.0969
3465,58,4.699
3472,42,3.699
3479,42,5.699
3481,56,4.3979
3488,63,6
3508,49,5.699
3509,60,5.699
3522,41,7
3533,59,5.0969
3547,48,3.699
3555,43,4.3979
3560,25,6.699
3569,42,5.0969
3582,41,3.699
3584,43,5.699
3588,48,5.0969
3589,54,5.699
3591,43,5.699
3592,21,4.3979
3593,60,6.699
3594,47,4.699
3595,63,4.699
3601,57,4.3979
3602,58,4.3979
3611,38,5.301
3632,47,4.699
3651,33,6
3660,37,3.699
3673,50,5.301
3676,57,6
3694,63,5.301
3696,36,5.699
3705,42,5.699
3708,59,3.699
3709,52,6
3714,57,5.0969
3718,34,3.699
3723,47,3.699
3729,37,3.699
3730,36,3.699
3732,46,4.3979
3738,42,5.699
3754,54,4.699
3763,35,4.699
3765,44,5.699
3773,49,6.699
3783,58,8
3789,46,4.3979
3792,60,6
3816,22,5.0969
3840,48,5.301
3843,29,6
3864,40,4.3979
3877,46,4.3979
3881,45,3.699
3889,41,5.301
4446,43,6.699
4463,59,5.0969
4466,47,3.699
4470,40,3.699
4474,56,7
4530,61,3.699
4531,61,5.699
4547,39,5.301
4602,53,3.699
4604,45,6
4629,39,5.0969
4645,61,6.699
4666,35,5.301
4669,42,6.699
4687,44,6
4688,21,4.3979
4693,28,4.699
4702,21,5.301
4717,45,4.699
4719,63,4.3979
4724,24,3.699
4725,38,3.699
4730,41,3.699
4734,51,5.301
4736,41,4.699
4739,56,6
4744,39,4.699
4761,41,4.3979
4770,39,4.3979
4792,33,5.0969
4794,42,3.699
4803,47,5.699
4805,56,4.699
4813,63,4.3979
4821,48,5.301
4824,52,4.3979
4828,51,5.699
4830,47,3.699
4832,63,5.699
4833,54,5.301
4838,51,4.3979
4840,49,8
4845,50,6
4849,21,3.699
4868,51,5.301
4869,40,6.699
4871,42,3.699
4872,40,3.699
4877,57,3.699
4878,48,6.699
4884,21,4.699
4892,43,4.3979
4894,56,5.0969
4895,47,3.699
4898,59,6.699
4913,43,5.0969
4914,61,6
4916,63,3.699
4923,62,5.0969
4928,62,5.0969
4930,41,4.699
4932,51,5.301
4933,51,6.699
4939,56,4.3979
4945,43,4.699
4965,47,4.3979
4971,53,6.699
4975,42,3.699
4976,52,5.301
4980,47,6
5001,61,6
5006,39,3.699
5009,40,5.0969
5030,46,4.699
5036,48,4.699
5055,59,3.699
5073,54,4.3979
5078,42,5.0969
5096,46,5.301
5097,57,4.3979
5099,60,8
5107,63,4.3979
5117,55,6.699
5120,46,3.699
5124,41,5.0969
5131,41,6
5141,58,6
5142,38,8
5150,42,5.699
5153,55,3.699
5167,43,5.699
5168,63,3.699
5173,26,4.699
5177,39,5.0969
5187,48,3.699
5194,52,4.699
5198,60,3.699
5221,63,5.699
5222,42,3.699
5231,35,4.3979
5237,45,3.699
5249,42,4.3979
5256,62,5.699
5265,52,6.699
5269,49,6.699
5282,50,6.699
5284,53,6
5285,38,6
5286,63,5.0969
5295,42,3.699
5310,48,5.0969
5334,60,4.699
5335,49,5.301
5338,56,8
5342,45,4.3979
5359,61,3.699
5375,49,4.3979
5376,46,4.699
5382,31,6.699
5389,63,4.3979
5399,23,3.699
5850,55,4.699
6040,40,3.699
6207,52,5.301
6217,60,5.0969
6231,54,5.699
